textID,text,selected_text,sentiment,temp_list,stemmed,lemmatized,label,token
4b7985d2ec,talking to nat,talking to nat,neutral,"['talking', 'nat']","['talk', 'at']","['talk', 'at']",1,"['talk', 'at']"
a863b7e9b8,will be attending CIC`s parents` orientation tomorrow...need to wake up early,will be attending CIC`s parents` orientation tomorrow...need to wake up early,neutral,"['attending', 'CIC`s', 'parents`', 'orientation', 'tomorrow...need', 'wake', 'early']","['attend', 'tic', 'parent', 'orient', 'tomorrow', 'need', 'wake', 'earli']","['attend', 'tic', 'parent', 'orientation', 'tomorrow', 'need', 'wake', 'early']",1,"['attend', 'tic', 'parent', 'orientation', 'tomorrow', 'need', 'wake', 'early']"
b4061742ff,"I miss ya, Boyfriend!  When am I gonna see ya again? Br!Tt!!!",miss,negative,"['I', 'miss', 'ya,', 'Boyfriend!', 'When', 'I', 'gonna', 'see', 'ya', 'again?', 'Br!Tt!!!']","['miss', 'boyfriend', 'go', 'see']","['miss', 'boyfriend', 'go', 'see']",0,"['miss', 'boyfriend', 'go', 'see']"
03bc84e879," ?? Sorry you posted the vid again, but it won`t load for me...",Sorry,negative,"['??', 'Sorry', 'posted', 'vid', 'again,', 'won`t', 'load', 'me...']","['sorri', 'post', 'did', 'load']","['sorry', 'post', 'do', 'load']",0,"['sorry', 'post', 'do', 'load']"
c57d6bb788,Thinking I`m super excited about this week!,super excited,positive,"['Thinking', 'I`m', 'super', 'excited', 'week!']","['think', 'super', 'excit', 'week']","['think', 'super', 'excite', 'week']",2,"['think', 'super', 'excite', 'week']"
fb2c3e992f,Y AM I STILL AWAKE!!!! SMH.... THIS SUCKS!!!,SUCKS!!,negative,"['Y', 'AM', 'I', 'STILL', 'AWAKE!!!!', 'SMH....', 'THIS', 'SUCKS!!!']","['still', 'awak', 's', 'suck']","['still', 'awake', 's', 'suck']",0,"['still', 'awake', 's', 'suck']"
9fd4a227a8,"Omg I just woke up after only sleeping for 3hrs, and my arm is just aching... It hurts so bad",It hurts so bad,negative,"['Omg', 'I', 'woke', 'sleeping', '3hrs,', 'arm', 'aching...', 'It', 'hurts', 'bad']","['org', 'woke', 'sleep', 'hi', 'arm', 'ach', 'hurt', 'bad']","['org', 'woke', 'sleep', 'his', 'arm', 'ache', 'hurt', 'bad']",0,"['org', 'woke', 'sleep', 'his', 'arm', 'ache', 'hurt', 'bad']"
332abe0130,Download movie  'Jackass 3' http://tinyurl.com/caotku cool #movie,cool #movie,positive,"['Download', 'movie', ""'Jackass"", ""3'"", 'http://tinyurl.com/caotku', 'cool', '#movie']","['download', 'movi', 'jacket', 'cool']","['download', 'movie', 'jacket', 'cool']",2,"['download', 'movie', 'jacket', 'cool']"
048826b880," Yeah, she`s done it several times. My Dumerils boa did it a few times w/ no prob. Just wonder if my hognose needs bigger food.","Yeah, she`s done it several times. My Dumerils boa did it a few times w/ no prob. Just wonder if my hognose needs bigger food.",neutral,"['Yeah,', 'she`s', 'done', 'several', 'times.', 'My', 'Dumerils', 'boa', 'times', 'w/', 'prob.', 'Just', 'wonder', 'hognose', 'needs', 'bigger', 'food.']","['yeah', 'done', 'sever', 'time', 'du', 'her', 'is', 'boa', 'time', 'probe', 'wonder', 'hognos', 'need', 'bigger', 'food']","['yeah', 'do', 'several', 'time', 'du', 'her', 'be', 'boa', 'time', 'probe', 'wonder', 'hognose', 'need', 'big', 'food']",1,"['yeah', 'do', 'several', 'time', 'du', 'her', 'be', 'boa', 'time', 'probe', 'wonder', 'hognose', 'need', 'big', 'food']"
fe54c45844,"can`t believe I just drove all the way back to school...whatever HAPPY MOTHER`S DAY: Mommy, Precious, Candis and Granny",HAPPY,positive,"['can`t', 'believe', 'I', 'drove', 'way', 'back', 'school...whatever', 'HAPPY', 'MOTHER`S', 'DAY:', 'Mommy,', 'Precious,', 'Candis', 'Granny']","['believ', 'drove', 'way', 'back', 'school', 'whatev', 'happi', 'mother', 'day', 'mummi', 'preciou', 'candid', 'granni']","['believe', 'drove', 'way', 'back', 'school', 'whatever', 'happy', 'mother', 'day', 'mummy', 'precious', 'candid', 'granny']",2,"['believe', 'drove', 'way', 'back', 'school', 'whatever', 'happy', 'mother', 'day', 'mummy', 'precious', 'candid', 'granny']"
8cf2cb4928,http://twitpic.com/4wsue - yeah  well thanks *blushes*,thanks,positive,"['http://twitpic.com/4wsue', '-', 'yeah', 'well', 'thanks', '*blushes*']","['yeah', 'well', 'thank', 'blush']","['yeah', 'well', 'thanks', 'blush']",2,"['yeah', 'well', 'thanks', 'blush']"
b9b90ee9d4," You too, my friend","You too, my friend",neutral,"['You', 'too,', 'friend']",['friend'],['friend'],1,['friend']
5a40eec810, unfortunatley it is the tooth kind of crown,unfortunatley,negative,"['unfortunatley', 'tooth', 'kind', 'crown']","['unfortun', 'tooth', 'kind', 'crown']","['unfortunately', 'tooth', 'kind', 'crown']",0,"['unfortunately', 'tooth', 'kind', 'crown']"
8142f5277b,rickbaker24 follow me please. i only have 6,rickbaker24 follow me please. i only have 6,neutral,"['rickbaker24', 'follow', 'please.', '6']","['rich', 'baker', 'follow', 'pleas']","['rich', 'baker', 'follow', 'please']",1,"['rich', 'baker', 'follow', 'please']"
86d0e638bd,gaahhhh! i want my #comet09 stream back...,gaahhhh!,negative,"['gaahhhh!', 'want', '#comet09', 'stream', 'back...']","['ga', 'ah', 'want', 'stream', 'back']","['ga', 'ah', 'want', 'stream', 'back']",0,"['ga', 'ah', 'want', 'stream', 'back']"
b75ca1b45b, :  i know i*m late but i didn`t had internet. so happy bithday to you and pierre!,:  i know i*m late but i didn`t had internet. so happy bithday to you and pierre!,neutral,"[':', 'know', 'i*m', 'late', 'didn`t', 'internet.', 'happy', 'bithday', 'pierre!']","['know', 'late', 'internet', 'happi', 'birthday', 'pierr']","['know', 'late', 'internet', 'happy', 'birthday', 'pierre']",1,"['know', 'late', 'internet', 'happy', 'birthday', 'pierre']"
327c0a62be, awwww this made me realize I have to take down my bulletin board too!  There`s so many memories up there.,awwww,positive,"['awwww', 'made', 'realize', 'I', 'take', 'bulletin', 'board', 'too!', 'There`s', 'many', 'memories', 'there.']","['made', 'realiz', 'take', 'bulletin', 'board', 'mani', 'memori']","['make', 'realize', 'take', 'bulletin', 'board', 'many', 'memory']",2,"['make', 'realize', 'take', 'bulletin', 'board', 'many', 'memory']"
58976edd1f, I`m not comfortable with this announcement.,not comfortable,negative,"['I`m', 'comfortable', 'announcement.']","['not', 'comfort', 'announc']","['not', 'comfortable', 'announcement']",0,"['not', 'comfortable', 'announcement']"
3b578b3b7e,Lookin` at spreadsheets so long my eyes are crossing...,my eyes are crossing...,negative,"['Lookin`', 'spreadsheets', 'long', 'eyes', 'crossing...']","['look', 'in', 'spreadsheet', 'long', 'eye', 'cross']","['look', 'in', 'spreadsheet', 'long', 'eye', 'cross']",0,"['look', 'in', 'spreadsheet', 'long', 'eye', 'cross']"
13faeecfe3, Sorry we couldn`t get the projector working with the windoze laptop  but a ton of people came up afterwards and saw it live,Sorry,negative,"['Sorry', 'couldn`t', 'get', 'projector', 'working', 'windoze', 'laptop', 'ton', 'people', 'came', 'afterwards', 'saw', 'live']","['sorri', 'get', 'protector', 'work', 'window', 'lawton', 'ton', 'peopl', 'came', 'afterward', 'saw', 'live']","['sorry', 'get', 'protector', 'work', 'window', 'lawton', 'ton', 'people', 'come', 'afterwards', 'saw', 'live']",0,"['sorry', 'get', 'protector', 'work', 'window', 'lawton', 'ton', 'people', 'come', 'afterwards', 'saw', 'live']"
37bdf56f2c,I`m wondering how big the rumored new `large screen` Kindle will be - http://is.gd/wyFI -and when we can start seeing K12 textbooks on it,I`m wondering how big the rumored new `large screen` Kindle will be - http://is.gd/wyFI -and when we can start seeing K12 textbooks on it,neutral,"['I`m', 'wondering', 'big', 'rumored', 'new', '`large', 'screen`', 'Kindle', '-', 'http://is.gd/wyFI', '-and', 'start', 'seeing', 'K12', 'textbooks']","['wonder', 'big', 'rumor', 'new', 'larg', 'screen', 'kindl', 'start', 'see', 'textbook']","['wonder', 'big', 'rumor', 'new', 'large', 'screen', 'kindle', 'start', 'see', 'textbook']",1,"['wonder', 'big', 'rumor', 'new', 'large', 'screen', 'kindle', 'start', 'see', 'textbook']"
45c31af0cc,need a camera blower.. my camera censor is dirteeh..,dirteeh..,negative,"['need', 'camera', 'blower..', 'camera', 'censor', 'dirteeh..']","['need', 'camera', 'lower', 'camera', 'censor', 'dirt', 'eh']","['need', 'camera', 'low', 'camera', 'censor', 'dirt', 'eh']",0,"['need', 'camera', 'low', 'camera', 'censor', 'dirt', 'eh']"
b4de637c68," Yes, we just need ppl to vote. GET OUT THE VOTE. ;) Ciao for now.  Till tomorrow...Is Anybody Listening? Yes, I am.  Night!","Yes, we just need ppl to vote. GET OUT THE VOTE. ;) Ciao for now.  Till tomorrow...Is Anybody Listening? Yes, I am.  Night!",neutral,"['Yes,', 'need', 'ppl', 'vote.', 'GET', 'OUT', 'THE', 'VOTE.', ';)', 'Ciao', 'now.', 'Till', 'tomorrow...Is', 'Anybody', 'Listening?', 'Yes,', 'I', 'am.', 'Night!']","['ye', 'need', 'peopl', 'vote', 'get', 'vote', 'can', 'till', 'tomorrow', 'anybodi', 'listen', 'ye', 'night']","['yes', 'need', 'people', 'vote', 'get', 'vote', 'can', 'till', 'tomorrow', 'anybody', 'listen', 'yes', 'night']",1,"['yes', 'need', 'people', 'vote', 'get', 'vote', 'can', 'till', 'tomorrow', 'anybody', 'listen', 'yes', 'night']"
472d565f46,  Welcome to my network buddies,Welcome to my network buddies,positive,"['Welcome', 'network', 'buddies']","['welcom', 'network', 'bodi']","['welcome', 'network', 'body']",2,"['welcome', 'network', 'body']"
e7efc04282,morning everyone!,morning everyone!,neutral,"['morning', 'everyone!']","['morn', 'everyon']","['morning', 'everyone']",1,"['morning', 'everyone']"
677b75b53e,"  cool, i saw it now in the link thanks",cool,positive,"['cool,', 'saw', 'link', 'thanks']","['cool', 'saw', 'link', 'thank']","['cool', 'saw', 'link', 'thanks']",2,"['cool', 'saw', 'link', 'thanks']"
7df3017e05," I loves me some Jeff Lynne, and I do enjoy sitar work, but that was kinda weird. To each his own, I s`pose!","I loves me some Jeff Lynne,",positive,"['I', 'loves', 'Jeff', 'Lynne,', 'I', 'enjoy', 'sitar', 'work,', 'kinda', 'weird.', 'To', 'own,', 'I', 's`pose!']","['love', 'jeff', 'lynn', 'enjoy', 'star', 'work', 'kind', 'weird', 'pose']","['love', 'jeff', 'lynn', 'enjoy', 'star', 'work', 'kind', 'weird', 'pose']",2,"['love', 'jeff', 'lynn', 'enjoy', 'star', 'work', 'kind', 'weird', 'pose']"
f1ea8affc9, and the grease drip pan doubles as a butter dish (in a pinch),and the grease drip pan doubles as a butter dish (in a pinch),neutral,"['grease', 'drip', 'pan', 'doubles', 'butter', 'dish', '(in', 'pinch)']","['greas', 'drip', 'pan', 'doubl', 'butter', 'dish', 'pinch']","['grease', 'drip', 'pan', 'double', 'butter', 'dish', 'pinch']",1,"['grease', 'drip', 'pan', 'double', 'butter', 'dish', 'pinch']"
2a3c809709," just the mere fact that you twittered and someone read it, then it matters p.s. love your song Gravity",love,positive,"['mere', 'fact', 'twittered', 'someone', 'read', 'it,', 'matters', 'p.s.', 'love', 'song', 'Gravity']","['mere', 'fact', 'twitter', 'ed', 'someon', 'read', 'matter', 'love', 'song', 'graviti']","['mere', 'fact', 'twitter', 'ed', 'someone', 'read', 'matter', 'love', 'song', 'gravity']",2,"['mere', 'fact', 'twitter', 'ed', 'someone', 'read', 'matter', 'love', 'song', 'gravity']"
1a2654426e, I`m learning to,I`m learning to,neutral,"['I`m', 'learning']",['learn'],['learn'],1,['learn']
42e7d844f7,waaah.. I can`t open my eyes wider! i wanna go back to sleep but i can`t sleep properly..,i can`t sleep properly..,negative,"['waaah..', 'I', 'can`t', 'open', 'eyes', 'wider!', 'wanna', 'go', 'back', 'sleep', 'can`t', 'sleep', 'properly..']","['wash', 'open', 'eye', 'wider', 'want', 'back', 'sleep', 'sleep', 'properli']","['wash', 'open', 'eye', 'wider', 'want', 'back', 'sleep', 'sleep', 'properly']",0,"['wash', 'open', 'eye', 'wider', 'want', 'back', 'sleep', 'sleep', 'properly']"
9d0e2f7af3,The time is not my friend today,The time is not my friend today,negative,"['The', 'time', 'friend', 'today']","['time', 'not', 'friend', 'today']","['time', 'not', 'friend', 'today']",0,"['time', 'not', 'friend', 'today']"
339b3de556, dave why why why can`t this happen when I`m not working and can listen?! :::whining big time:::,dave why why why can`t this happen when I`m not working and can listen?! :::whining big time:::,neutral,"['dave', 'can`t', 'happen', 'I`m', 'working', 'listen?!', ':::whining', 'big', 'time:::']","['dave', 'happen', 'not', 'work', 'listen', 'whine', 'big', 'time']","['dave', 'happen', 'not', 'work', 'listen', 'whine', 'big', 'time']",1,"['dave', 'happen', 'not', 'work', 'listen', 'whine', 'big', 'time']"
f0091efc9d,Hahahahaha i rember when i riped that william picture out of one of claires mags. I beated zoe to it,Hahahahaha i rember when i riped that william picture out of one of claires mags. I beated zoe to it,neutral,"['Hahahahaha', 'rember', 'riped', 'william', 'picture', 'one', 'claires', 'mags.', 'I', 'beated', 'zoe']","['hahahahaha', 'member', 'ripe', 'd', 'william', 'pictur', 'one', 'claim', 'mass', 'be', 'act', 'toe']","['hahahahaha', 'member', 'ripe', 'd', 'william', 'picture', 'one', 'claim', 'mass', 'be', 'act', 'toe']",1,"['hahahahaha', 'member', 'ripe', 'd', 'william', 'picture', 'one', 'claim', 'mass', 'be', 'act', 'toe']"
2cf10632e6,"Hummmmm..... ohh  i miss you so much!!! realy, but i hope you have a nice friends, like us :]","Hummmmm..... ohh  i miss you so much!!! realy, but i hope you have a nice friends, like us :]",neutral,"['Hummmmm.....', 'ohh', 'miss', 'much!!!', 'realy,', 'hope', 'nice', 'friends,', 'like', 'us', ':]']","['hum', 'm', 'oh', 'miss', 'much', 'realli', 'hope', 'nice', 'friend', 'like']","['hum', 'm', 'oh', 'miss', 'much', 'really', 'hope', 'nice', 'friend', 'like']",1,"['hum', 'm', 'oh', 'miss', 'much', 'really', 'hope', 'nice', 'friend', 'like']"
2a80342b9a," Yay! Congratulations, oh newly minted graduate. You`ll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!","Yay! Congratulations, oh newly minted graduate. You`ll have to let me buy you lunch and iced chocolates (PLURAL) to celebrate!",positive,"['Yay!', 'Congratulations,', 'oh', 'newly', 'minted', 'graduate.', 'You`ll', 'let', 'buy', 'lunch', 'iced', 'chocolates', '(PLURAL)', 'celebrate!']","['may', 'congratul', 'newli', 'mind', 'graduat', 'let', 'buy', 'lunch', 'ice', 'chocol', 'plural', 'celebr']","['may', 'congratulation', 'newly', 'mind', 'graduate', 'let', 'buy', 'lunch', 'ice', 'chocolate', 'plural', 'celebrate']",2,"['may', 'congratulation', 'newly', 'mind', 'graduate', 'let', 'buy', 'lunch', 'ice', 'chocolate', 'plural', 'celebrate']"
6f6d5f1468,chilling at the casa,chilling at the casa,neutral,"['chilling', 'casa']","['shill', 'case']","['shill', 'case']",1,"['shill', 'case']"
75eb2bbec3," hi there, nice to meet you.  I am new to twitter and I guess you are too?",nice,positive,"['hi', 'there,', 'nice', 'meet', 'you.', 'I', 'new', 'twitter', 'I', 'guess', 'too?']","['nice', 'meet', 'new', 'twitter', 'guess']","['nice', 'meet', 'new', 'twitter', 'guess']",2,"['nice', 'meet', 'new', 'twitter', 'guess']"
1b197386f9,rblpnqte : 'sheesh I am sending one up to you .  I think you could use it  lol' RB DELUX... ? http://blip.fm/~5z36j,rblpnqte : 'sheesh I am sending one up to you .  I think you could use it  lol' RB DELUX... ? http://blip.fm/~5z36j,neutral,"['rblpnqte', ':', ""'sheesh"", 'I', 'sending', 'one', '.', 'I', 'think', 'could', 'use', ""lol'"", 'RB', 'DELUX...', '?', 'http://blip.fm/~5z36j']","['re', 'len', 'ate', 'speech', 'send', 'one', 'think', 'could', 'use', 'll', 'deux']","['re', 'len', 'ate', 'speech', 'send', 'one', 'think', 'could', 'use', 'll', 'deux']",1,"['re', 'len', 'ate', 'speech', 'send', 'one', 'think', 'could', 'use', 'll', 'deux']"
fb6c33f3d2,that`s two and a half hours completed now. chillaxing until half 2,that`s two and a half hours completed now. chillaxing until half 2,neutral,"['that`s', 'two', 'half', 'hours', 'completed', 'now.', 'chillaxing', 'half', '2']","['two', 'half', 'hour', 'complet', 'chill', 'tax', 'half']","['two', 'half', 'hour', 'complete', 'chill', 'tax', 'half']",1,"['two', 'half', 'hour', 'complete', 'chill', 'tax', 'half']"
f562ffd0a9,Playing see you again-miley cyrus in the shop,Playing see you again-miley cyrus in the shop,neutral,"['Playing', 'see', 'again-miley', 'cyrus', 'shop']","['play', 'see', 'mile', 'cyru', 'shop']","['play', 'see', 'mile', 'cyrus', 'shop']",1,"['play', 'see', 'mile', 'cyrus', 'shop']"
f22dd850f7,happy mother`s day to all the moms out there. i hope i never join that crowd,happy mother`s day,positive,"['happy', 'mother`s', 'day', 'moms', 'there.', 'hope', 'never', 'join', 'crowd']","['happi', 'mother', 'day', 'moss', 'hope', 'never', 'join', 'crowd']","['happy', 'mother', 'day', 'moss', 'hope', 'never', 'join', 'crowd']",2,"['happy', 'mother', 'day', 'moss', 'hope', 'never', 'join', 'crowd']"
c3f0a11d84,I wish I could go to the Love Music Hate Racism gig this weekend   I`m not in the right part of the world even,Hate Racism gig this weekend   I`m not in the right part of the world even,negative,"['I', 'wish', 'I', 'could', 'go', 'Love', 'Music', 'Hate', 'Racism', 'gig', 'weekend', 'I`m', 'right', 'part', 'world', 'even']","['wish', 'could', 'love', 'music', 'hate', 'racism', 'gig', 'weekend', 'not', 'right', 'part', 'world', 'even']","['wish', 'could', 'love', 'music', 'hate', 'racism', 'gig', 'weekend', 'not', 'right', 'part', 'world', 'even']",0,"['wish', 'could', 'love', 'music', 'hate', 'racism', 'gig', 'weekend', 'not', 'right', 'part', 'world', 'even']"
a66407ce97, Or a Mexican wrestler. They year capes too. You probably haven`t the build for it though.,Or a Mexican wrestler. They year capes too. You probably haven`t the build for it though.,neutral,"['Or', 'Mexican', 'wrestler.', 'They', 'year', 'capes', 'too.', 'You', 'probably', 'haven`t', 'build', 'though.']","['mexican', 'wrestl', 'year', 'case', 'probabl', 'build', 'though']","['mexican', 'wrestle', 'year', 'case', 'probably', 'build', 'though']",1,"['mexican', 'wrestle', 'year', 'case', 'probably', 'build', 'though']"
fe74ac7470,woke up from napping  finally got the sleep i needed,finally got the sleep i needed,positive,"['woke', 'napping', 'finally', 'got', 'sleep', 'needed']","['woke', 'tap', 'final', 'got', 'sleep', 'need']","['woke', 'tap', 'finally', 'get', 'sleep', 'need']",2,"['woke', 'tap', 'finally', 'get', 'sleep', 'need']"
bc8cd3a3e0,"  I read somewhere they were restoring the name, hope it happens soon",", hope",positive,"['I', 'read', 'somewhere', 'restoring', 'name,', 'hope', 'happens', 'soon']","['read', 'somewher', 'restor', 'name', 'hope', 'happen', 'soon']","['read', 'somewhere', 'restore', 'name', 'hope', 'happens', 'soon']",2,"['read', 'somewhere', 'restore', 'name', 'hope', 'happens', 'soon']"
bb0d3341ad,_Souljaa I couldn`t eat 2,_Souljaa I couldn`t eat 2,neutral,"['_Souljaa', 'I', 'couldn`t', 'eat', '2']","['soul', 'a', 'eat']","['soul', 'a', 'eat']",1,"['soul', 'a', 'eat']"
107e26abb0,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,Quite excited,positive,"['FALL', 'ASLEEP', 'ON', 'ME', 'AGAIN', 'But', 'I', 'know', 'feels', 'LOL.', 'Drag', 'Me', 'To', 'Hell', 'tonight!', 'Quite', 'excited']","['fall', 'asleep', 'know', 'feel', 'll', 'drag', 'hell', 'tonight', 'quit', 'excit']","['fall', 'asleep', 'know', 'feel', 'll', 'drag', 'hell', 'tonight', 'quite', 'excite']",2,"['fall', 'asleep', 'know', 'feel', 'll', 'drag', 'hell', 'tonight', 'quite', 'excite']"
b380057828,"Field day over. Lots of great action fotos. Ate lunch, need 2 showr, tidy hse, get ready 4 stamp club. Btw Mexican skin got 2 tan 2day","Field day over. Lots of great action fotos. Ate lunch, need 2 showr, tidy hse, get ready 4 stamp club. Btw Mexican skin got 2 tan 2day",neutral,"['Field', 'day', 'over.', 'Lots', 'great', 'action', 'fotos.', 'Ate', 'lunch,', 'need', '2', 'showr,', 'tidy', 'hse,', 'get', 'ready', '4', 'stamp', 'club.', 'Btw', 'Mexican', 'skin', 'got', '2', 'tan', '2day']","['field', 'day', 'lot', 'great', 'action', 'form', 'ate', 'lunch', 'need', 'show', 'r', 'tidi', 'he', 'get', 'readi', 'stamp', 'club', 'way', 'mexican', 'skin', 'got', 'an', 'day']","['field', 'day', 'lot', 'great', 'action', 'form', 'ate', 'lunch', 'need', 'show', 'r', 'tidy', 'he', 'get', 'ready', 'stamp', 'club', 'way', 'mexican', 'skin', 'get', 'an', 'day']",1,"['field', 'day', 'lot', 'great', 'action', 'form', 'ate', 'lunch', 'need', 'show', 'r', 'tidy', 'he', 'get', 'ready', 'stamp', 'club', 'way', 'mexican', 'skin', 'get', 'an', 'day']"
7d57cdba79,"... And, I was the only person who stood up for them. The world is full if spineless ****. This makes me sad",The world is full if spineless ****. This makes me sad,negative,"['...', 'And,', 'I', 'person', 'stood', 'them.', 'The', 'world', 'full', 'spineless', '****.', 'This', 'makes', 'sad']","['person', 'stood', 'world', 'full', 'spindl', 'make', 'sad']","['person', 'stood', 'world', 'full', 'spindle', 'make', 'sad']",0,"['person', 'stood', 'world', 'full', 'spindle', 'make', 'sad']"
5cc492fd3f,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,neutral,"['home', 'taking', 'Nick', 'home', '-', 'little', 'lighter', 'pocket', 'flashed', 'speed', 'camera']","['home', 'take', 'nick', 'home', 'littl', 'lighter', 'pocket', 'flash', 'speed', 'camera']","['home', 'take', 'nick', 'home', 'little', 'lighter', 'pocket', 'flash', 'speed', 'camera']",1,"['home', 'take', 'nick', 'home', 'little', 'lighter', 'pocket', 'flash', 'speed', 'camera']"
950e4ad498,im so tired of my responsabilities i wish i was a kid it seems that everyone around me is all about money and not me anymore,tired,negative,"['im', 'tired', 'responsabilities', 'wish', 'kid', 'seems', 'everyone', 'around', 'money', 'anymore']","['tire', 'respons', 'wish', 'kid', 'seem', 'everyon', 'around', 'money', 'not', 'anymor']","['tire', 'responsibility', 'wish', 'kid', 'seem', 'everyone', 'around', 'money', 'not', 'anymore']",0,"['tire', 'responsibility', 'wish', 'kid', 'seem', 'everyone', 'around', 'money', 'not', 'anymore']"
4e53704d24,in about 30 minutes Happy Mothers Day to alll the amazing moms out there!!!  going to bed!!,Happy,positive,"['30', 'minutes', 'Happy', 'Mothers', 'Day', 'alll', 'amazing', 'moms', 'there!!!', 'going', 'bed!!']","['minut', 'happi', 'mother', 'day', 'all', 'l', 'amaz', 'moss', 'go', 'bed']","['minute', 'happy', 'mother', 'day', 'all', 'l', 'amaze', 'moss', 'go', 'bed']",2,"['minute', 'happy', 'mother', 'day', 'all', 'l', 'amaze', 'moss', 'go', 'bed']"
139fd0525f,Tweet Later! Byee,Tweet Later! Byee,neutral,"['Tweet', 'Later!', 'Byee']","['sweet', 'later', 'by', 'he']","['sweet', 'later', 'by', 'he']",1,"['sweet', 'later', 'by', 'he']"
629f6069b0,I plead temporary insanity for agreeing to a metric century cycling event tomorrow.,insanity,negative,"['I', 'plead', 'temporary', 'insanity', 'agreeing', 'metric', 'century', 'cycling', 'event', 'tomorrow.']","['plead', 'temporari', 'insan', 'agre', 'merit', 'centuri', 'cycl', 'event', 'tomorrow']","['plead', 'temporary', 'insanity', 'agree', 'merit', 'century', 'cycling', 'event', 'tomorrow']",0,"['plead', 'temporary', 'insanity', 'agree', 'merit', 'century', 'cycling', 'event', 'tomorrow']"
